rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.05,13.84,fluctuations
0.06,1.09,0.05,9.42,fluctuations
0.06,1.09,0.05,7.21,fluctuations
0.06,1.09,0.05,6.56,fluctuations
0.06,1.09,0.06,6.78,fluctuations
0.06,1.09,0.05,7.34,fluctuations
0.06,1.09,0.05,11.12,fluctuations
0.06,1.09,0.05,16.06,fluctuations
0.06,1.09,0.05,21.33,fluctuations
0.06,1.09,0.05,26.41,fluctuations
0.06,1.09,0.05,32.48,fluctuations
0.06,1.09,0.05,39.42,fluctuations
0.06,1.09,0.05,46.28,fluctuations
0.06,1.09,0.05,54.37,fluctuations
0.06,1.09,0.05,60.96,fluctuations
0.06,1.09,0.05,69.90,fluctuations
0.06,1.09,0.05,76.93,fluctuations
0.06,1.09,0.05,86.36,fluctuations
0.06,1.09,0.05,94.03,fluctuations
0.06,1.09,0.05,102.62,fluctuations
0.06,1.09,0.05,112.01,fluctuations
0.06,1.09,0.05,120.88,fluctuations
0.06,1.09,0.05,127.36,fluctuations
0.06,1.09,0.05,139.46,fluctuations
0.06,1.09,0.05,147.45,fluctuations
0.06,1.09,0.05,156.90,fluctuations
0.06,1.09,0.05,162.10,fluctuations
0.06,1.09,0.05,156.50,fluctuations
0.06,1.09,0.05,159.35,fluctuations
0.06,1.09,0.05,163.63,fluctuations
0.06,1.09,0.05,167.19,fluctuations
0.06,1.09,0.05,165.07,fluctuations
0.06,1.09,0.05,165.06,fluctuations
0.06,1.09,0.05,161.85,fluctuations
0.06,1.09,0.05,161.10,fluctuations
0.06,1.09,0.05,94.50,fluctuations
0.06,1.09,0.05,50.10,fluctuations
0.06,1.09,0.05,28.93,fluctuations
0.06,1.09,0.05,17.96,fluctuations
0.06,1.09,0.05,12.43,fluctuations
0.06,1.08,0.05,8.72,fluctuations
0.06,1.09,0.05,6.86,fluctuations
0.06,1.09,0.05,5.93,fluctuations
0.06,1.09,0.05,5.51,fluctuations
0.06,1.09,0.05,6.21,fluctuations
0.06,1.09,0.05,6.93,fluctuations
0.06,1.09,0.05,8.26,fluctuations
0.06,1.09,0.05,15.61,fluctuations
0.06,1.09,0.05,22.03,fluctuations
0.06,1.09,0.05,26.46,fluctuations
0.06,1.09,0.05,33.16,fluctuations
0.06,1.09,0.05,39.10,fluctuations
0.06,1.09,0.05,47.95,fluctuations
0.06,1.09,0.05,54.63,fluctuations
0.06,1.09,0.05,61.54,fluctuations
0.06,1.09,0.05,69.39,fluctuations
0.06,1.09,0.05,77.15,fluctuations
0.06,1.09,0.05,86.10,fluctuations
0.06,1.09,0.05,93.25,fluctuations
0.06,1.09,0.05,101.20,fluctuations
0.06,1.09,0.05,110.45,fluctuations
0.06,1.09,0.05,122.27,fluctuations
0.06,1.09,0.05,132.24,fluctuations
0.06,1.09,0.05,141.14,fluctuations
0.06,1.09,0.05,151.72,fluctuations
0.06,1.09,0.05,157.94,fluctuations
0.06,1.09,0.05,166.87,fluctuations
0.06,1.09,0.05,166.51,fluctuations
0.06,1.09,0.05,160.78,fluctuations
0.06,1.09,0.05,156.69,fluctuations
0.06,1.09,0.05,135.09,fluctuations
0.06,1.09,0.05,70.95,fluctuations
0.06,1.08,0.05,39.17,fluctuations
0.06,1.08,0.05,23.09,fluctuations
0.05,1.08,0.06,14.24,fluctuations
0.06,1.08,0.05,9.62,fluctuations
0.06,1.09,0.05,7.31,fluctuations
0.06,1.09,0.05,6.16,fluctuations
0.06,1.09,0.05,5.58,fluctuations
0.06,1.09,0.05,5.29,fluctuations
0.06,1.09,0.05,5.19,fluctuations
0.06,1.09,0.05,6.10,fluctuations
0.06,1.09,0.05,6.62,fluctuations
0.06,1.09,0.05,7.29,fluctuations
0.06,1.09,0.05,8.74,fluctuations
0.06,1.08,0.05,16.42,fluctuations
0.06,1.09,0.05,24.46,fluctuations
0.06,1.09,0.05,32.13,fluctuations
0.06,1.09,0.05,36.62,fluctuations
0.06,1.09,0.05,44.73,fluctuations
0.06,1.08,0.05,53.64,fluctuations
0.06,1.09,0.05,60.85,fluctuations
0.06,1.09,0.05,67.50,fluctuations
0.06,1.09,0.05,74.40,fluctuations
0.06,1.09,0.05,82.55,fluctuations
0.06,1.09,0.05,90.70,fluctuations
0.06,1.09,0.05,99.27,fluctuations
0.06,1.09,0.05,107.91,fluctuations
0.06,1.09,0.05,122.53,fluctuations
0.06,1.09,0.05,131.67,fluctuations
0.06,1.09,0.05,142.23,fluctuations
0.06,1.09,0.05,145.87,fluctuations
0.06,1.09,0.05,157.48,fluctuations
0.06,1.09,0.05,168.47,fluctuations
0.06,1.09,0.05,169.66,fluctuations
0.06,1.09,0.05,168.58,fluctuations
0.06,1.09,0.05,88.91,fluctuations
0.06,1.09,0.05,48.13,fluctuations
0.06,1.08,0.05,27.07,fluctuations
0.06,1.09,0.05,16.03,fluctuations
0.06,1.09,0.05,9.67,fluctuations
0.06,1.09,0.05,6.33,fluctuations
